Tabela/View;Campo;Propriedade;Português do Brasil (Nativo);Espanhol
E000AGE;HORGER;1;Hora Geração;Tiempo generacional
E000AGE;HORGER;2;Hora da Geração;Tiempo generacional
E000AGE;HORGER;3;Hora da geração do registro;Tiempo de generación récord
E000AGE;NOMIMP;1;Imp.;Diablillo.
E000AGE;NOMIMP;2;Impressora;Impresora
E000AGE;NOMIMP;3;Nome da impressora para impressão automática (tipos de processo: R);Nombre de la impresora para impresión automática (tipos de proceso: R)
E000AGE;PARROT;1;Par. Rotina;Par. Rutina
E000AGE;PARROT;2;Parâmetros Rotina;Parámetros de rutina
E000AGE;PARROT;3;Parâmetros para execução da rotina do Sapiens (tipos de processo: O);Parámetros para ejecutar la rutina Sapiens (tipos de proceso: O)
E000AGE;PROSUC;1;Proc. Suc.;Proc. Suc.
E000AGE;PROSUC;2;Processo Sucessor;Proceso sucesor
E000AGE;PROSUC;3;Código do processo automático que será executado ao término deste;Código del proceso automático que se ejecutará al final de este
E000AGE;RMTMSG;1;Remetente Msg.;Mensaje del remitente.
E000AGE;RMTMSG;2;Remetente Mensagem;Remitente del mensaje
E000AGE;RMTMSG;3;Endereço do remetente da mensagem (tipos de processo: I);Dirección del remitente del mensaje (tipos de proceso: I)
E000AGE;ROTSAP;1;Rot. Sapiens;Putrefacción. sapiens
E000AGE;ROTSAP;2;Rotina Sapiens;Rutina Sapiens
E000AGE;ROTSAP;3;Rotina do Sapiens (tipos de processo: O);Rutina Sapiens (tipos de proceso: O)
E000AGE;SENUSU;1;Sen. Usu. Exe.;Sen. Usú. Ex.
E000AGE;SENUSU;2;Senha Usuário Execução;Ejecución de usuario de contraseña
E000AGE;SENUSU;3;Senha do usuário responsável pela execução do processo automático;Contraseña del usuario responsable de ejecutar el proceso automático
E000AGE;STOPRC;1;Stor. Proc;Almacenar. proceso
E000AGE;STOPRC;2;Stored Procedure;Procedimiento almacenado
E000AGE;STOPRC;3;Nome da stored procedure a ser executada (tipos de processo: Q);Nombre del procedimiento almacenado a ejecutar (tipos de proceso: Q)
E000AGE;TIPPRA;1;Tipo;Tipo
E000AGE;TIPPRA;2;Tipo Processo;Tipo de proceso
E000AGE;TIPPRA;3;Tipo do processo automático;Tipo de proceso automático
E000AGE;TXTMS1;1;Texto Msg.;Mensaje de texto.
E000AGE;TXTMS1;2;Texto Mensagem;Mensaje de texto
E000AGE;TXTMS1;3;Texto da mensagem (tipos de processo: I);Texto del mensaje (tipos de proceso: I)
E000AGE;USUALT;1;Usuário Últ. Alter.;Último usuario Alterar.
E000AGE;USUALT;2;Usuário Última Alteração;Usuario cambiado por última vez
E000AGE;USUALT;3;Usuário responsável pela última alteração do registro;Usuario responsable del último cambio de registro
E000AGE;USUGER;1;Usuário Geração;Generación de usuarios
E000AGE;USUGER;2;Usuário de Geração;Usuario de generación
E000AGE;USUGER;3;Usuário responsável pela geração do registro;Usuario responsable de generar el registro
E000ALE;CODALE;1;Código da alíquota;Codigo de CALIFICACION
E000ALE;CODALE;2;Código da alíquota;Codigo de CALIFICACION
E000ALE;CODALE;3;Código da alíquota de ICMS para venda não presencial;Código de tarifa ICMS para ventas no presenciales
E000ALE;CODEMP;1;Empresa;Empresa
E000ALE;CODEMP;2;Empresa;Empresa
E000ALE;CODEMP;3;Código da empresa;Codigo de compañia
E000ALE;CODFIL;1;Filial;Subsidiaria
E000ALE;CODFIL;2;Filial;Subsidiaria
E000ALE;CODFIL;3;Código da filial;Código de sucursal
E000ALE;SEQINT;1;Num. Sequencial;Numero secuencial
E000ALE;SEQINT;2;Num. Sequencial;Numero secuencial
E000ALE;SEQINT;3;Número sequencial dos registros de integração;Número secuencial de registros de integración
E000ANX;CODEMP;1;Empresa;Empresa
E000ANX;CODEMP;2;Empresa;Empresa
E000ANX;CODEMP;3;Código da empresa;Codigo de compañia
E000ANX;DATATU;1;Data Atual.;Fecha actual.
E000ANX;DATATU;2;Data/Hora Atualização;Actualización de fecha/hora
E000ANX;DATATU;3;Data da última atualização;Fecha de la última actualización
E000ANX;DATGER;1;Data Geração;Fecha de generación
E000ANX;DATGER;2;Data/Hora Geração;Fecha/hora de generación
E000ANX;DATGER;3;Data da geração do registro;Fecha de generación del registro
E000ANX;DESANX;1;Descrição;Descripción
E000ANX;DESANX;2;Descrição;Descripción
E000ANX;DESANX;3;Descrição do arquivo anexo;Descripción del archivo adjunto
E000ANX;HORATU;1;Hora Atual.;Tiempo actual.
E000ANX;HORATU;2;Hora Atualização;Tiempo de actualizacion
E000ANX;HORATU;3;Hora/minuto da última atualização;Hora/minuto de la última actualización
E000ANX;HORGER;1;Hora Geração;Tiempo generacional
E000ANX;HORGER;2;Hora Geração;Tiempo generacional
E000ANX;HORGER;3;Hora da geração do registro;Tiempo de generación récord
E000ANX;LOCANX;1;Localização;Ubicación
E000ANX;LOCANX;2;Localização;Ubicación
E000ANX;LOCANX;3;Localização do documento anexo;Ubicación del documento adjunto
E000ANX;NUMANX;1;Nr. Anexo;Anexo No.
E000ANX;NUMANX;2;Número Anexo;Número de anexo
E000ANX;NUMANX;3;Número do controle de arquivos anexos gerado pelo sistema;Número de control del archivo adjunto generado por el sistema
E000ANX;ROTANX;1;Rotina Anexo;Rutina del anexo
E000ANX;ROTANX;2;Rotina Anexo;Rutina del anexo
E000ANX;ROTANX;3;Código da rotina para controle de arquivos anexos;Código de rutina para controlar archivos adjuntos
E000ANX;SEQANX;1;Seq.;Sec.
E000ANX;SEQANX;2;Seq.;Sec.
E000ANX;SEQANX;3;Seq. de inclusão dos arquivos anexos;Sec. inclusión de archivos adjuntos
E000ANX;TIPANX;1;Tipo;Tipo
E000ANX;TIPANX;2;Tipo Anexo;Tipo Anexo
E000ANX;TIPANX;3;Tipo do anexo;Tipo del anexo
E000ANX;USUATU;1;Usuário Atual.;Usuario actual.
E000ANX;USUATU;2;Usuário Atualização;Actualización de usuario
E000ANX;USUATU;3;Usuário responsável pela última atualização;Usuario responsable de la última actualización
E000ANX;USUGER;1;Usuário Geração;Generación de usuarios
E000ANX;USUGER;2;Usuário Geração;Generación de usuarios
E000ANX;USUGER;3;Usuário responsável pela geração do registro;Usuario responsable de generar el registro
E000ANX;VALANX;1;Validade;Validez
E000ANX;VALANX;2;Validade Doc. Anexo;Validez Doc. Anexo
E000ANX;VALANX;3;Validade do documento anexo;Validez del documento anexo
E000ATN;CODEMP;1;Empresa;Empresa
E000ATN;CODEMP;2;Empresa;Empresa
E000ATN;CODEMP;3;Código da empresa;Codigo de compañia
E000ATN;CODFIL;1;Filial;Subsidiaria
E000ATN;CODFIL;2;Filial;Subsidiaria
E000ATN;CODFIL;3;Código da filial;Código de sucursal
E000ATN;CODTPT;1;Tipo Tít.;Escriba Título.
E000ATN;CODTPT;2;Tipo Título;Tipo Título
E000ATN;CODTPT;3;Código do tipo de título a receber;Código del tipo de documento por cobrar
E000ATN;DATEXP;1;Data Geração;Fecha de generación
E000ATN;DATEXP;2;Data Geração;Fecha de generación
E000ATN;DATEXP;3;Data da exportação;fecha de exportación
E000ATN;DATGER;1;Data Geração;Fecha de generación
E000ATN;DATGER;2;Data Geração;Fecha de generación
E000ATN;DATGER;3;Data da geração do registro;Fecha de generación del registro
E000ATN;HOREXP;1;Hora de Geração;Tiempo generacional
E000ATN;HOREXP;2;Hora de Geração;Tiempo generacional
E000ATN;HOREXP;3;Hora da exportacao do registro;Récord de tiempo de exportación
E000ATN;HORGER;1;Hora de Geração;Tiempo generacional
E000ATN;HORGER;2;Hora de Geração;Tiempo generacional
E000ATN;HORGER;3;Hora da geração do registro;Tiempo de generación récord
E000ATN;NUMTIT;1;Título;Título
E000ATN;NUMTIT;2;Nº Título;Título No.
E000ATN;NUMTIT;3;Número do título a receber;Número de título por cobrar
E000ATN;SEQREG;1;Num. Sequencial;Numero secuencial
E000ATN;SEQREG;2;Num. Sequencial;Numero secuencial
E000ATN;SEQREG;3;Número sequencial dos registros de integração;Número secuencial de registros de integración
E000ATN;SITEXP;1;Sit.Integração;Sit.Integração
E000ATN;SITEXP;2;Sit.Integração;Sit.Integração
E000ATN;SITEXP;3;Situação do processamento da pendência de integração;Estado de integración pendiente de procesamiento
E000ATN;VCTOAN;1;Venc. Orig.Ant;Ganar. Original
E000ATN;VCTOAN;2;Vencimento original Ant.;fecha de vencimiento original
E000ATN;VCTOAN;3;Data do vencimento original anterior à alteracao;Fecha de vencimiento original antes del cambio
E000ATN;VCTODP;1;Venc. Orig.;Ganar. Original.
E000ATN;VCTODP;2;Venc. Orig. Posterior;Ganar. Original. Posterior
E000ATN;VCTODP;3;Data do vencimento original posterior à alteração;Fecha de vencimiento original después del cambio
E000ATN;VCTPAN;1;Venc. Pror. Ant.;Ganar. Prof. Hormiga.
E000ATN;VCTPAN;2;Vencimento Prorrogado Ant;Vencimiento extendido antes
E000ATN;VCTPAN;3;Data do vencimento prorrogado anterior à alteração;Fecha de vencimiento extendida antes del cambio
E000ATN;VCTPDP;1;Venc. Prorr. Post;Ganar. Pror. Correo
E000ATN;VCTPDP;2;Vencimento Prorrogado Post;Publicación extendida de vencimiento
E000ATN;VCTPDP;3;Data do vencimento prorrogado posterior à alteração;Fecha de vencimiento extendida después del cambio.
E000ATV;CODATV;1;Cód. Atrib. Venda;Código de asignación Venta
E000ATV;CODATV;2;Cód. Atrib. Venda;Código de asignación Venta
E000ATV;CODATV;3;Código do atributo da venda;Código de atributo de venta
E000ATV;CODEMP;1;Empresa;Empresa
E000ATV;CODEMP;2;Empresa;Empresa
E000ATV;CODEMP;3;Código da empresa;Codigo de compañia
E000ATV;CODFIL;1;Filial;Subsidiaria
E000ATV;CODFIL;2;Filial;Subsidiaria
E000ATV;CODFIL;3;Código da filial;Código de sucursal
E000ATV;SEQINT;1;Num. Sequencial;Numero secuencial
E000ATV;SEQINT;2;Num. Sequencial;Numero secuencial
E000ATV;SEQINT;3;Número sequencial dos registros de integração;Número secuencial de registros de integración
E000ATX;APLATX;1;Aplicação;Solicitud
E000ATX;APLATX;2;Aplicação;Solicitud
E000ATX;APLATX;3;Código da aplicação do autotexto;Código de aplicación de autotexto
E000ATX;CODATX;1;Cód. Autotexto;Código de texto automático
E000ATX;CODATX;2;Cód. Autotexto;Código de texto automático
E000ATX;CODATX;3;Código do autotexto;código de autotexto
E000ATX;CODEMP;1;Empresa;Empresa
E000ATX;CODEMP;2;Empresa;Empresa
E000ATX;CODEMP;3;Código da empresa;Codigo de compañia
E000ATX;DATALT;1;Data Últ. Alteração;Ultima cita Cambiar
E000ATX;DATALT;2;Data Últ. Alteração;Ultima cita Cambiar
E000ATX;DATALT;3;Data da última alteração do registro;Fecha del último cambio de registro
E000ATX;DATGER;1;Data Geração;Fecha de generación
E000ATX;DATGER;2;Data/Hora Geração;Fecha/hora de generación
E000ATX;DATGER;3;Data da geração do registro;Fecha de generación del registro
E000ATX;DESATX;1;Descrição;Descripción
E000ATX;DESATX;2;Descrição;Descripción
E000ATX;DESATX;3;Descrição do autotexto;Descripción del autotexto
E000ATX;HORALT;1;Hora Últ. Alteração;Ultima vez Cambiar
E000ATX;HORALT;2;Hora Últ. Alteração;Ultima vez Cambiar
E000ATX;HORALT;3;Hora/minuto da última alteração do registro;Hora/minuto del último cambio de registro
E000ATX;HORGER;1;Hora Geração;Tiempo generacional
E000ATX;HORGER;2;Hora Geração;Tiempo generacional
E000ATX;HORGER;3;Hora da geração do registro;Tiempo de generación récord
E000ATX;SITATX;1;Situação;Situación
E000ATX;SITATX;2;Situação;Situación
E000ATX;SITATX;3;Situação do autotexto;Estado de texto automático
E000ATX;USUALT;1;Usu. Últ. Alteração;Usú. Último. Cambiar
E000ATX;USUALT;2;Usu. Últ. Alteração;Usú. Último. Cambiar
E000ATX;USUALT;3;Usuário responsável pela última alteração do registro;Usuario responsable del último cambio de registro
E000ATX;USUGER;1;Usuário Geração;Generación de usuarios
E000ATX;USUGER;2;Usuário Geração;Generación de usuarios
E000ATX;USUGER;3;Usuário responsável pela geração do registro;Usuario responsable de generar el registro
E000AVA;CODAVA;1;Cod. do Avalista;Código. del garante
E000AVA;CODAVA;2;Código do Avalista;Código de garante
E000AVA;CODAVA;3;Código do avalista C-cliente/R-representante;Código de garante Cliente C/Representante R
E000AVA;CODEMP;1;Empresa;Empresa
E000AVA;CODEMP;2;Empresa;Empresa
E000AVA;CODEMP;3;Código da empresa;Codigo de compañia
E000AVA;CODFIL;1;Filial;Subsidiaria
E000AVA;CODFIL;2;Filial;Subsidiaria
E000AVA;CODFIL;3;Código da filial;Código de sucursal
E000AVA;CODSNF;1;Série NF Saída;Salida de la serie NF
E000AVA;CODSNF;2;Série NF Saída;Salida de la serie NF
E000AVA;CODSNF;3;Código da série da nota fiscal de saída;Código de serie de factura saliente
E000AVA;DATALT;1;Data Últ. Alter.;Ultima cita Alterar.
E000AVA;DATALT;2;Data Última Alteração;Fecha de última modificación
E000AVA;DATALT;3;Data da última alteração do registro;Fecha del último cambio de registro
E000AVA;DATAPR;1;Data Aprovação;Fecha de aprobación
E000AVA;DATAPR;2;Data de Aprovação;Fecha de aprobación
E000AVA;DATAPR;3;Data de aprovação do avalista;Fecha de aprobación del garante
E000AVA;DATGER;1;Data Geração;Fecha de generación
E000AVA;DATGER;2;Data da Geração;Fecha de generación
E000AVA;DATGER;3;Data da geração do registro;Fecha de generación del registro
E000AVA;EMPCTR;1;Empresa Contr. Ven.;Control de la empresa. Ven.
E000AVA;EMPCTR;2;Empresa Contrato Venda;Contrato de venta de la empresa
E000AVA;EMPCTR;3;Código da empresa do contrato de venda;Código de empresa del contrato de venta
E000AVA;EMPNFV;1;Emp. NF. Saída;Emp. NF. Salida
E000AVA;EMPNFV;2;Empresa Nota Fiscal Saída;Factura saliente de la empresa
E000AVA;EMPNFV;3;Código da empresa da nota fiscal de saída;Código de empresa de la factura emitida
E000AVA;EMPPED;1;Empresa Ped.;Empresa Ped.
E000AVA;EMPPED;2;Empresa Pedido;Solicitud de empresa
E000AVA;EMPPED;3;Código da empresa do pedido;Código de empresa del pedido
E000AVA;FILCTR;1;Filial Contr. Ven.;Rama de Control. Ven.
E000AVA;FILCTR;2;Filial Contrato Venda;Contrato de venta de sucursales
E000AVA;FILCTR;3;Código da filial do contrato de venda;Código de sucursal del contrato de venta
E000AVA;FILNFV;1;Fil. NF. Saída;Fil. NF. Salida
E000AVA;FILNFV;2;Filial Nota Fiscal Saída;Factura saliente de sucursal
E000AVA;FILNFV;3;Código da filial da nota fiscal de saída;Código de sucursal de factura saliente
E000AVA;FILPED;1;Filial Ped.;Sucursal Ped.
E000AVA;FILPED;2;Filial Pedido;Orden de sucursal
E000AVA;FILPED;3;Código da filial do pedido;Ordenar código de sucursal
E000AVA;HORALT;1;Hora Últ. Alter.;Ultima vez Alterar.
E000AVA;HORALT;2;Hora Última Alteração;Hora del último cambio
E000AVA;HORALT;3;Hora da última alteração do registro;Hora del último cambio de registro
E000AVA;HORAPR;1;Hora Aprovação;Tiempo de aprobación
E000AVA;HORAPR;2;Hora da Aprovação;Tiempo de aprobación
E000AVA;HORAPR;3;Hora de aprovação do avalista;Tiempo de aprobación del garante
E000AVA;HORGER;1;Hora Geração;Tiempo generacional
E000AVA;HORGER;2;Hora da Geração;Tiempo generacional
E000AVA;HORGER;3;Hora da geração do registro;Tiempo de generación récord
E000AVA;NUMCTR;1;Nr. Contr.;Nr. Contral.
E000AVA;NUMCTR;2;Número Contrato;Número de contrato
E000AVA;NUMCTR;3;Número do Contrato;Número de contacto
E000AVA;NUMNFV;1;Nr. NF Saída;NF Salida No.
E000AVA;NUMNFV;2;Número NF Saída;Número NF saliente
E000AVA;NUMNFV;3;Número da nota fiscal de saída;Número de factura saliente
E000AVA;NUMPED;1;Pedido;Orden
E000AVA;NUMPED;2;Pedido;Orden
E000AVA;NUMPED;3;Número do pedido;Numéro del pedido
E000AVA;OBSAVA;1;Obs. Avaliação;Nota Evaluación
E000AVA;OBSAVA;2;Observação da Avaliação;Observación de evaluación
E000AVA;OBSAVA;3;Texto da observação da avaliação do avalista;Texto de la observación de evaluación del garante.
E000AVA;ORIGEM;1;Origem Avalista;Origen del garante
E000AVA;ORIGEM;2;Origem Avalista;Origen del garante
E000AVA;ORIGEM;3;Determina onde foram definidos os avalistas contrato, pedido ou na nota fiscal;Determina dónde se definieron los garantes en el contrato, pedido o factura.
E000AVA;PERAVA;1;% Avalista;% Garante
E000AVA;PERAVA;2;% Avalista;% Garante
E000AVA;PERAVA;3;Percentual no qual o avalista é responsável;Porcentaje del que es responsable el garante
E000AVA;SEQAVA;1;Sequência;Secuencia
E000AVA;SEQAVA;2;Sequência Avalista;Secuencia garante
E000AVA;SEQAVA;3;Sequência Avalista;Secuencia garante
E000AVA;SEQORI;1;Seq. Original;Sec. Original
E000AVA;SEQORI;2;Sequência Orig.;Secuencia original.
E000AVA;SEQORI;3;Sequência original do item avalizado;Secuencia original del artículo endosado.
E000AVA;SITAVA;1;Situação Avaliação;Evaluación de la situación
E000AVA;SITAVA;2;Situação da Avaliação;Estado de evaluación
E000AVA;SITAVA;3;Determina a situação da avaliação do avalista;Determina el estado de la evaluación del garante.
E000AVA;TIPAVA;1;Tipo do Avalista;Tipo de garante
E000AVA;TIPAVA;2;Tipo do Avalista;Tipo de garante
E000AVA;TIPAVA;3;Determina qual o tipo do avalista pode ser C-cliente/R-representante;Determina qué tipo de garante puede ser cliente C/representante R
E000AVA;USUALT;1;Usuário Últ. Alter.;Último usuario Alterar.
E000AVA;USUALT;2;Usuário Última Alteração;Usuario cambiado por última vez
E000AVA;USUALT;3;Usuário responsável pela última alteração do registro;Usuario responsable del último cambio de registro
E000AVA;USUAPR;1;Usuário Aprovação;Aprobación del usuario
E000AVA;USUAPR;2;Usuário de Aprovação;Usuario de aprobación
E000AVA;USUAPR;3;Usuário responsável pela aprovação do avalista;Usuario responsable de aprobar al garante
E000AVA;USUGER;1;Usuário Geração;Generación de usuarios
E000AVA;USUGER;2;Usuário de Geração;Usuario de generación
E000AVA;USUGER;3;Usuário responsável pela geração do registro;Usuario responsable de generar el registro
E000AVA;VLRAVA;1;Valor avalizado;Valor garantizado
E000AVA;VLRAVA;2;Valor avalizado;Valor garantizado
E000AVA;VLRAVA;3;Valor avalizado;Valor garantizado
E000AVA;VLRORI;1;Valor avalizado ori.;Valor original garantizado.
E000AVA;VLRORI;2;Valor avalizado original;Valor original garantizado
E000AVA;VLRORI;3;Valor original avalizado do item;Valor original garantizado del artículo.
E000BAL;CHNBAL;1;Canal de Comunicação;Canal de comunicación
E000BAL;CHNBAL;2;Canal de Comunicação;Canal de comunicación
E000BAL;CHNBAL;3;Canal de Comunicação;Canal de comunicación
E000BAL;CNTBAL;1;Conector;Conector
E000BAL;CNTBAL;2;Conector;Conector
E000BAL;CNTBAL;3;Conector da Comunicação;Conector de comunicación
E000BAL;CODEMP;1;Empresa;Empresa
E000BAL;CODEMP;2;Empresa;Empresa
E000BAL;CODEMP;3;Código da empresa;Codigo de compañia
E000BAL;CODUSU;1;Id. do usuário;ID de usuario
